arcog	Pathway	GeneID	Gene	COG	PFAM	CD	TIGR	NIOZ132_cc_b51_2	NIOZ134_mx_b281_2	SRR2090153_bin1042	SRR2090153_bin461	SRR2090159_bin1129	SRR2090159_bin1288	GCA_002494525	GCA_002495465	GCA_002501985	SRR4028224_bin17	SRR5007147_bin71	U_76725	NIOZ124_cc_b247_2	NIOZ125_mb_b254_2	NIOZ129_mb_b262_2	NIOZ126_mb_b401_2	NIOZ122_mb_b319_2	NIOZ134_mb_b41_2	NIOZ132_mb_b282_2	NIOZ127_mb_b161_2	NIOZ123_bs_b5_2	NIOZ121_cc_b94_2	NIOZ136_cc_b15_2	GCA_002502135	NIOZ134_mb_b293_2	NIOZ132_mb_b260_2	NIOZ126_mb_b137_2	NIOZ129_mb_b254_2	NIOZ127_mb_b282_2	NIOZ122_mb_b305_2	NIOZ136_mb_b335_2	NIOZ132_mb_b198_2	NIOZ136_mb_b104_2	NIOZ125_mb_b178_2	NIOZ121_mb_b48_2	NIOZ134_cc_b149_2	NIOZ134_mb_b361_2	NIOZ136_mb_b226_2	NIOZ123_bs_b392_2	NIOZ124_mb_b130_2	NIOZ132_cc_b149_2	NIOZ125_cc_b75_2	NIOZ132_mx_b314_2	NIOZ120_mb_b229_2	NIOZ126_mb_b304_2	NIOZ119_mb_b5_2
445	arCOG01308	O	Cdc48	"ATPase of the AAA+ class , CDC48 family"	COG00464	"pfam00004,pfam00004,pfam09336"	"cd00009,cd00009"	TIGR01243	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	0	1	1	1	0	0	0	1	1	0	1	0	1	0	0	1	1	0	0
446	arCOG01311	O	SppA	Periplasmic serine protease (ClpP class)	COG00616	pfam01343	cd07023	TIGR00706	1	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	1
447	arCOG01312	S	-	Uncharacterized secreted protein	SC.00272	pfam09822			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	2	1	0	1	1	0
448	arCOG01316	E	PutP	Na+/proline symporter	COG00591	pfam00474	cd10322	TIGR00813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	0
449	arCOG01321	H	RibA	GTP cyclohydrolase II	COG00807	"pfam00926,pfam00925"	cd00641	"TIGR00506,TIGR00505"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	1	1	1	0	1	0	1	1	0	0	0	1	0	1
450	arCOG01327	F	Pnp	Purine nucleoside phosphorylase	COG00005	pfam01048		TIGR01694	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	0	1	1
451	arCOG01330	S	-	Uncharacterized membrane protein	COG02426	pfam06695			1	0	0	0	0	0	1	1	1	1	1	0	2	1	1	1	0	1	1	1	0	0	0	1	0	1	0	0	0	1	1	1	0	1	1	1	1	1	1	1	0	0	1	0	1	0
452	arCOG01331	O	HtpX	Zn-dependent protease with chaperone function	COG00501	pfam01435			1	1	1	0	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
453	arCOG01334	O	HtpX	Zn-dependent protease with chaperone function	COG00501				0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
454	arCOG01336	S	AMMECR1	Uncharacterized protein	COG02078	pfam01871		TIGR04335	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	0	1	1	1
455	arCOG01338	C	-	"Acyl-CoA synthetase, ATP-grasp containing subunit"	COG01042	pfam13549			0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
456	arCOG01340	C	-	Acyl-CoA synthetase (NDP forming)	COG01042	"pfam13380,pfam13607"		TIGR02717	0	0	1	1	1	1	1	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
457	arCOG01341	O	GIM5	"Predicted prefoldin, molecular chaperone implicated in de novo protein folding"	COG01730	pfam02996	cd00584	TIGR00293	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	0	1	1	0	0
458	arCOG01342	O	GimC	"Prefoldin, chaperonin cofactor"	COG01382	pfam01920	cd00632	TIGR02338	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1
459	arCOG01344	J	RPS19A	Ribosomal protein S19E (S16A)	COG02238	pfam01090			1	1	0	1	1	0	1	0	1	0	0	0	1	1	0	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
460	arCOG01346	J	-	"RNA-binding protein containing KH domain, possibly ribosomal protein"	COG01534	pfam01985			0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
461	arCOG01347	L	CDC9	ATP-dependent DNA ligase	COG01793	"pfam04675,pfam01068,pfam04679"	"cd07901,cd07969"	TIGR00574	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	0	1
462	arCOG01348	H	nadF	NAD kinase	COG00061	pfam01513			1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	0	1	1	0	0
463	arCOG01349	G	SuhB	"Archaeal fructose-1,6-bisphosphatase or related enzyme of inositol monophosphatase family"	COG00483	pfam00459	cd01642	TIGR01331	0	1	0	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	0	1	1	1	1	0
464	arCOG01350	F	-	Predicted inorganic polyphosphate/ATP-NAD kinase	COG03199	pfam01513			1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
465	arCOG01351	E	ThrA	Homoserine dehydrogenase	COG00460	"pfam03447,pfam00742"			0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
466	arCOG01352	E	GdhA	Glutamate dehydrogenase/leucine dehydrogenase	COG00334	"pfam02812,pfam00208"	cd01076		0	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
467	arCOG01356	C	-	Radical SAM superfamily enzyme	COG01032	"pfam02310,pfam04055"	"cd02068,cd01335"	TIGR02026	8	20	2	3	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	3	8	5	4	3	5	8	3	4	3	2	2	2	5	1	1	4	3	1	1	1	2
468	arCOG01358	J	MiaB	2-methylthioadenine synthetase	COG00621	"pfam00919,pfam04055,pfam01938"	cd01335	TIGR00089	1	2	0	1	0	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	0	1	1	1	1	1	1	1
469	arCOG01359	C	-	Radical SAM superfamily enzyme	COG01031	pfam04055		TIGR04013	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
470	arCOG01360	R	-	"MiaB family, Radical SAM enzyme"	COG01244	pfam04055	cd01335	TIGR01210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	1	1	1	1	0	1	0	1	1	0	0	0	1	0	1
471	arCOG01361	K	ELP3	Histone acetyltransferase	COG01243	pfam04055		TIGR01211	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	1	1	0	0	1	1	2	0	1	0	2	0	1	1	0	0	1
472	arCOG01365	J	POP5	RNase P/RNase MRP subunit POP5	COG01369	pfam01900			1	0	1	1	2	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	0	0	1
473	arCOG01367	M	RfbD	dTDP-4-dehydrorhamnose reductase	COG01091	pfam04321	cd05254	TIGR01214	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
474	arCOG01369	M	WcaG	Nucleoside-diphosphate-sugar epimerase	COG00451	pfam01370	cd05234	TIGR01179	6	13	4	4	7	7	4	4	4	4	4	1	6	5	4	6	5	5	5	4	3	2	4	4	3	4	3	3	2	5	5	2	2	5	2	4	2	6	3	2	1	1	3	3	2	1
475	arCOG01371	M	RfbB	"dTDP-D-glucose 4,6-dehydratase"	COG01088	pfam01370	cd05246	TIGR01181	0	1	1	1	1	1	0	0	0	0	0	0	1	2	1	2	1	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
476	arCOG01372	M	WcaG	Nucleoside-diphosphate-sugar epimerase	COG00451	pfam01370	cd05256	TIGR01179	1	2	1	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
477	arCOG01373	M	Gmd	GDP-D-mannose dehydratase	COG01089	"pfam01370,pfam13950"	cd05260	TIGR01472	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
478	arCOG01374	M	WcaG	Nucleoside-diphosphate-sugar epimerase	COG00451	pfam01370	cd05252	TIGR02622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
479	arCOG01375	M	FlaA1	"NDP-sugar epimerase, includes UDP-GlcNAc-inverting 4,6-dehydratase FlaA1 and capsular polysaccharide biosynthesis protein EpsC"	COG01086	pfam02719	cd05237	TIGR03589	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
480	arCOG01376	M	WcaG	Nucleoside-diphosphate-sugar epimerase	COG00451	pfam01370	cd08946	TIGR01179	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
481	arCOG01377	R	-	Phosphodiesterase of AP superfamily	COG03379	pfam01663			0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
482	arCOG01378	R	-	Uncharacterized protein of the AP superfamily	COG01524	pfam01663			1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
483	arCOG01380	R	-	Phosphodiesterase of AP superfamily	COG03379	pfam01663			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
484	arCOG01381	M	AglO	Glycosyl transferase family 2	COG00463	pfam00535	cd00761	TIGR04283	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0
485	arCOG01383	M	-	Glycosyl transferase family 2	COG01216	pfam00535	cd04186	"TIGR04017,TIGR01556"	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
486	arCOG01385	M	-	Glycosyl transferase family 2	COG00463	pfam00535	cd02522	TIGR04283	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0
487	arCOG01386	M	-	Glycosyl transferase family 2	COG01215	pfam00535	cd02522	TIGR04283	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
488	arCOG01389	M	-	Glycosyl transferase family 2	COG01215	pfam13641	cd06423	TIGR03937	3	2	1	1	2	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	2	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	2	2	0	0	0	1	0	0
489	arCOG01392	M	WecB	UDP-N-acetylglucosamine 2-epimerase	COG00381	pfam02350	cd03786	TIGR00236	1	1	0	3	1	2	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	3	1	1	1	1	1	1	1	1	0	1	1	2	1	0	0	0	1	1	0	0
490	arCOG01393	G	-	"Glycosyl transferase, related to UDP-glucuronosyltransferase"	COG01819				0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
491	arCOG01395	R	-	Lipid-A-disaccharide synthase related glycosyltransferase	COG01817	pfam04007			1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	0	1	2	1	1	1
492	arCOG01402	Q	AglP	SAM-dependent methyltransferase	COG00500	pfam05050		TIGR01444	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
493	arCOG01403	M	AglL	Glycosyltransferase	COG00438	"pfam13439,pfam00534"	cd03804		4	26	2	1	3	1	2	2	2	2	2	1	2	1	1	3	3	1	1	1	2	1	1	1	1	6	1	1	2	2	2	2	1	2	2	2	1	3	1	2	1	3	2	2	1	2
494	arCOG01405	M	RfaG	Glycosyltransferase	COG00438	"pfam13439,pfam13692"	cd03794	TIGR04063	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
495	arCOG01407	M	RfaG	Glycosyltransferase	COG00438	pfam00534	cd03792	TIGR03999	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
496	arCOG01409	M	RfaG	Glycosyltransferase	COG00438	pfam13692	cd03794	TIGR03087	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
497	arCOG01417	M	RfaG	Glycosyltransferase	COG00438	pfam00534	cd01635		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
498	arCOG01430	E	CysK	Cysteine synthase	COG00031	pfam00291	cd01561	TIGR01136	2	1	0	0	0	0	0	0	0	0	0	0	1	2	2	2	2	2	2	2	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	0	1	0	1
499	arCOG01433	E	TrpB	Tryptophan synthase beta chain	COG00133	pfam00291	cd06446	TIGR00263	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	1	1	0	0	2	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
500	arCOG01435	E	Acd	1-aminocyclopropane-1-carboxylate deaminase	COG02515	pfam00291	cd06449	TIGR01275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
501	arCOG01455	R	AdhP	Zn-dependent alcohol dehydrogenase	COG01064	"pfam08240,pfam00107"	cd08259	TIGR02824	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
502	arCOG01456	C	FrmA	Zn-dependent alcohol dehydrogenase	COG01062	"pfam08240,pfam00107"	cd08263	TIGR03989	0	0	0	1	0	2	0	0	0	0	0	0	1	1	1	1	0	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
503	arCOG01458	C	Qor	NADPH:quinone reductase or related Zn-dependent oxidoreductase	COG00604	"pfam08240,pfam00107"	cd08264	TIGR02824	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
504	arCOG01459	E	Tdh	Threonine dehydrogenase or related Zn-dependent dehydrogenase	COG01063	"pfam08240,pfam00107"	cd08235	TIGR00692	1	1	0	2	2	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1
505	arCOG01465	V	-	"ABC-type multidrug transport system, permease component"	COG00842				0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
506	arCOG01467	V	-	"ABC-type multidrug transport system, permease component"	COG00842	pfam01061		TIGR01247	0	0	1	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
507	arCOG01474	P	MMT1	Predicted Co/Zn/Cd cation transporter	COG00053	pfam01545		TIGR01297	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
508	arCOG01481	H	PncB	Nicotinic acid phosphoribosyltransferase	COG01488	"pfam02749,pfam01729"	cd01571	TIGR01513	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
509	arCOG01482	H	NadC	Nicotinate-nucleotide pyrophosphorylase	COG00157	"pfam02749,pfam01729"	cd01572	TIGR00078	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
510	arCOG01486	J	RnmV	"5S rRNA maturation endonuclease (Ribonuclease M5), contains TOPRIM domain"	COG01658	pfam01751	cd01027		0	2	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
511	arCOG01487	F	ComEB	Deoxycytidylate deaminase	COG02131	pfam00383	cd01286	TIGR02571	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	1	1	0	1	0	2	0	1	0	1	2	1	1	0	1	0
512	arCOG01490	H	FolA	Dihydrofolate reductase	COG00262	pfam00186	cd00209		0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0	0	1	0	0
513	arCOG01492	C	FdhA	Formate dehydrogenase subunit alpha	COG03383	"pfam13510,pfam10588,pfam12838,pfam04879,pfam00384,pfam01568"	"cd00207,cd02753,cd02792"	"TIGR02512,TIGR01591"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
514	arCOG01502	C	HycB	Fe-S-cluster-containing hydrogenase component 2	COG01142	pfam13247		"TIGR02512,TIGR03149"	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
515	arCOG01510	L	RPA1	"Single-stranded DNA-binding replication protein A (RPA), large (70 kD) subunit or related ssDNA-binding protein"	COG01599		"cd04491,cd04491"		1	2	3	1	1	2	1	1	1	1	1	0	2	2	2	2	2	2	2	2	2	1	1	2	0	2	1	2	2	2	1	1	1	1	1	1	1	2	2	2	0	1	3	1	2	0
516	arCOG01518	E	FrvX	Peptidase M42 family protein	COG01363	pfam05343	cd05656	TIGR03107	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	0	0	0	1	1	0	1	1	1	0	1	2	1	2	0
517	arCOG01521	Q	-	Phytoene dehydrogenase or related enzyme	COG01233	pfam13450			1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
518	arCOG01522	H	HemY	Protoporphyrinogen oxidase	COG01232	pfam01593		TIGR00562	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
519	arCOG01527	L	TopA	Topoisomerase IA	COG00550	"pfam01751,pfam01131"	"cd03362,cd00186"	TIGR01057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0
520	arCOG01529	I	Acs	Acyl-coenzyme A synthetase/AMP-(fatty) acid ligase	COG00365	pfam00501	cd05966	TIGR02188	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	2	0	0	1	0	1
521	arCOG01532	I	UppS	Undecaprenyl pyrophosphate synthase	COG00020	pfam01255	cd00475	TIGR00055	1	2	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	2	0	1	1	1	0	1	2	1	1	1
522	arCOG01537	C	NuoM	NADH:ubiquinone oxidoreductase subunit 4 (chain M)	COG00651	pfam00361		TIGR01972	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
523	arCOG01543	C	NuoI	NADH dehydrogenase subunit I	COG01143	pfam12838		TIGR01971	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
524	arCOG01545	C	HyfC	Formate hydrogenlyase subunit 4	COG00650	pfam00146			1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
525	arCOG01546	C	NuoH	NADH dehydrogenase subunit H	COG01005	pfam00146			0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
526	arCOG01547	C	HycE	"Ni,Fe-hydrogenase III large subunit and subunit G"	COG03261	"pfam00374,pfam00346"		TIGR01962	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
527	arCOG01548	C	NuoD	NADH dehydrogenase subunit D	COG00649	pfam00346		TIGR01962	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
528	arCOG01549	C	FrhA	"Coenzyme F420-reducing hydrogenase, alpha subunit"	COG03259	pfam00374		TIGR03295	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
529	arCOG01551	C	NuoC	NADH dehydrogenase subunit C	COG00852	pfam00329		TIGR01961	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
530	arCOG01553	C	-	"Ni,Fe-hydrogenase III small subunit"	COG03260	pfam01058		TIGR01957	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
531	arCOG01554	C	NuoB	"F420H2 dehydrogenase subunit, related to NADH:ubiquinone oxidoreductase 20 kD subunit"	COG00377	pfam01058		TIGR01957	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
532	arCOG01557	C	NuoA	NADH dehydrogenase subunit A	COG00838				0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
533	arCOG01559	J	FusA	"Translation elongation factor G, EF-G (GTPase)"	COG00480	"pfam00009,pfam03144,pfam14492,pfam03764,pfam00679"	"cd01885,cd03700,cd01681,cd01514"	TIGR00490	1	2	1	1	1	1	1	2	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1
