SampleID	Nutrient	Condition	Timepoint	Rootlength
586	noP_350_t5	noP	350	t5	8.230782609
587	noP_350_t5	noP	350	t5	9.103695652
588	noP_350_t5	noP	350	t5	8.941405797
589	noP_350_t5	noP	350	t5	7.435217391
590	noP_350_t5	noP	350	t5	8.311550725
591	noP_350_t5	noP	350	t5	6.883388889
592	noP_350_t5	noP	350	t5	7.881674603
593	noP_350_t5	noP	350	t5	8.711857143
594	noP_350_t5	noP	350	t5	10.12571429
595	noP_350_t5	noP	350	t5	7.495912698
596	noP_350_t5	noP	350	t5	9.391428571
597	noP_350_t5	noP	350	t5	10.88053968
598	noP_350_t5	noP	350	t5	11.42775397
599	noP_350_t5	noP	350	t5	10.69786508
600	noP_350_t5	noP	350	t5	12.09337302
601	noP_350_t5	noP	350	t5	7.006089431
602	noP_350_t5	noP	350	t5	7.338276423
603	noP_350_t5	noP	350	t5	10.63202439
604	noP_350_t5	noP	350	t5	9.245317073
605	noP_350_t5	noP	350	t5	NA
606	P_MgCl_t5	P	MgCl	t5	6.788
607	P_MgCl_t5	P	MgCl	t5	8.228
608	P_MgCl_t5	P	MgCl	t5	7.676
609	P_MgCl_t5	P	MgCl	t5	7.407
610	P_MgCl_t5	P	MgCl	t5	5.774
611	P_MgCl_t5	P	MgCl	t5	7.784
612	P_MgCl_t5	P	MgCl	t5	7.556
613	P_MgCl_t5	P	MgCl	t5	8.971
614	P_MgCl_t5	P	MgCl	t5	7.68
615	P_MgCl_t5	P	MgCl	t5	7.204
616	P_MgCl_t5	P	MgCl	t5	8.169
617	P_350_t5	P	350	t5	10.393
618	P_350_t5	P	350	t5	10.827
619	P_350_t5	P	350	t5	11.337
620	P_350_t5	P	350	t5	8.674
621	P_350_t5	P	350	t5	12.021
622	P_350_t5	P	350	t5	11.14
623	P_350_t5	P	350	t5	12.088
624	P_350_t5	P	350	t5	11.576
625	P_350_t5	P	350	t5	12.136
626	P_350_t5	P	350	t5	11.948
627	P_350_t5	P	350	t5	11.301
